Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.114,58.547,90.0,top
C2,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.7,45.72,0.0,top
C3,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34.417,73.406,180.0,top
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.791198,63.953176,180.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.791198,65.985176,180.0,top
C6,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.114,54.737,90.0,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.984,79.756,90.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.89,45.72,180.0,top
C9,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,80.01,63.940001,0.0,top
C10,10uF 35V,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,76.464001,42.858001,180.0,top
C11,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,59.839098,63.904175,0.0,top
C12,10uF 35V,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,56.293099,42.822175,180.0,top
C13,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,43.815,45.72,-90.0,top
C14,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,121.159098,63.940001,0.0,top
C15,10uF 35V,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,117.613099,42.858001,180.0,top
C16,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,37.846,41.91,-90.0,top
C17,10uF 50V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100.33,63.94,0.0,top
C18,10uF 35V,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,96.784001,42.858,180.0,top
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.317198,66.620176,0.0,top
C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,38.989,56.007,180.0,top
C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,38.481,80.772,180.0,top
C23,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34.417,71.374,180.0,top
C24,330pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,44.196,56.007,0.0,top
